family_name,median,ci_lower,ci_upper,n,mass_in_band,selection,replicate
Tuu,161.0,161.0,161.0,1,,largest,0
Unclassifiable,21.0,21.0,21.0,1,,largest,0
Uralic,37.0,35.5,39.5,46,0.7450050689788019,largest,0
Uru-Chipaya,42.0,33.0,51.0,2,0.6442540312741625,largest,0
Uto-Aztecan,30.0,25.0,36.0,18,0.8283057909064218,largest,0
Wakashan,51.0,47.0,55.0,4,0.4337596399299841,largest,0
Western Daly,27.5,22.0,32.0,6,0.8724620756118334,largest,0
Wintuan,35.0,35.0,35.0,1,,largest,0
Worrorran,25.0,24.0,28.0,9,0.9999843988245608,largest,0
Yangmanic,22.0,22.0,22.0,2,,largest,0
Yanomamic,33.0,31.0,34.0,11,0.9314610387352535,largest,0
Yareban,18.0,18.0,18.0,1,,largest,0
Yawa-Saweru,19.0,19.0,19.0,1,,largest,0
Yeniseian,32.0,32.0,32.0,2,,largest,0
Yukaghir,39.0,36.0,39.0,5,1.0,largest,0
Yuki-Wappo,32.5,30.0,35.0,2,0.9997062166293805,largest,0
Zamucoan,33.5,30.0,37.0,2,0.9941789999280679,largest,0
Zaparoan,25.0,19.0,29.0,5,0.8104534353793611,largest,0
(Unknown),27.0,25.0,30.0,103,0.8317422030789184,smallest,0
Abkhaz-Adyge,55.0,51.0,62.0,4,0.2031641522936941,smallest,0
Afro-Asiatic,38.0,37.0,40.0,139,0.8531687648848038,smallest,0
Ainu,16.0,16.0,16.0,2,,smallest,0
Algic,28.0,25.0,39.0,8,0.8837308720819899,smallest,0
Angan,21.0,21.0,21.0,1,,smallest,0
Araucanian,26.0,26.0,26.0,3,,smallest,0
Arawakan,24.0,22.5,26.0,58,0.7898463838669633,smallest,0
Arawan,21.5,15.0,25.5,6,0.5695885497730466,smallest,0
Athabaskan-Eyak-Tlingit,47.0,35.0,51.5,14,0.6624810000993535,smallest,0
Atlantic-Congo,37.0,36.0,38.0,479,0.8311840724905446,smallest,0
Austroasiatic,38.0,36.0,41.0,52,0.8415566365151962,smallest,0
Austronesian,24.0,23.0,25.0,131,0.7787493141339848,smallest,0
Aymaran,39.0,31.0,39.0,4,0.9998404646666121,smallest,0
Baining,22.0,22.0,22.0,1,,smallest,0
Barbacoan,25.0,21.0,27.0,9,0.9419019818361054,smallest,0
Blue Nile Mao,36.0,36.0,36.0,1,,smallest,0
Bookkeeping,32.5,20.0,41.0,4,0.7962653836565384,smallest,0
Boran,29.5,28.0,41.0,4,0.968790779674869,smallest,0
Border,22.0,19.0,23.0,3,0.7064642930403426,smallest,0
Bororoan,20.0,20.0,20.0,3,,smallest,0
Bunaban,23.5,23.0,24.0,2,0.9999996696540798,smallest,0
Caddoan,29.0,23.0,29.0,3,0.9525559050088425,smallest,0
Cahuapanan,21.0,18.0,21.0,3,0.5326678147786723,smallest,0
Cariban,20.0,19.0,22.5,30,0.5533694263633442,smallest,0
Central Sudanic,45.0,39.0,49.0,25,0.7030993962979224,smallest,0
Chapacuran,20.0,18.0,20.0,3,0.33584843277803544,smallest,0
Chibchan,24.5,21.0,28.0,12,0.7998169524660639,smallest,0
Chicham,21.0,20.5,25.0,6,0.763346502754851,smallest,0
Chimakuan,37.0,37.0,37.0,1,,smallest,0
Chiquitano,26.0,26.0,26.0,1,,smallest,0
Chocoan,31.0,31.0,33.0,7,0.9999999999996538,smallest,0
Chonan,31.0,29.0,31.0,3,1.0000000000000002,smallest,0
Chukotko-Kamchatkan,24.0,20.0,32.0,6,0.762512783032447,smallest,0
Chumashan,40.0,40.0,40.0,1,,smallest,0
Cochimi-Yuman,34.0,34.0,38.0,3,0.9999999999756708,smallest,0
Dajuic,30.0,30.0,30.0,1,,smallest,0
Dizoid,30.0,30.0,30.0,1,,smallest,0
Dogon,28.0,28.0,47.0,3,0.7637632181998305,smallest,0
Dravidian,34.0,33.0,38.0,42,0.9131414807957257,smallest,0
East Strickland,18.0,18.0,18.0,1,,smallest,0
Eastern Daly,22.0,22.0,22.0,1,,smallest,0
Eastern Jebel,33.0,33.0,33.0,2,,smallest,0
Eleman,14.0,14.0,14.0,1,,smallest,0
Eskimo-Aleut,27.0,22.0,27.0,7,0.8721616741664743,smallest,0
Furan,30.0,30.0,30.0,1,,smallest,0
Garrwan,17.0,17.0,20.0,4,0.12729126683248018,smallest,0
Giimbiyu,23.0,23.0,23.0,3,,smallest,0
Great Andamanese,24.0,24.0,24.0,2,,smallest,0
Guahiboan,25.0,22.0,29.0,5,0.9082353391274137,smallest,0
Guaicuruan,26.0,22.0,30.0,10,0.8499622160773784,smallest,0
Gumuz,44.0,44.0,44.0,1,,smallest,0
Gunwinyguan,27.0,24.0,27.0,19,0.9615327653607826,smallest,0
Haida,49.0,49.0,49.0,2,,smallest,0
Harakmbut,33.0,33.0,33.0,1,,smallest,0
Heibanic,40.0,31.5,44.5,6,0.9533886726310896,smallest,0
Hibito-Cholon,20.0,20.0,20.0,1,,smallest,0
Hmong-Mien,48.5,41.0,61.0,4,0.5080405801055058,smallest,0
Huavean,24.0,24.0,24.0,2,,smallest,0
Huitotoan,26.0,20.0,34.0,5,0.8475693400476009,smallest,0
Ijoid,40.0,36.5,43.5,6,0.9984901944669318,smallest,0
Indo-European,39.0,37.0,39.0,192,0.8305761323214805,smallest,0
Iroquoian,19.0,17.0,22.0,5,0.2900100575612439,smallest,0
Iwaidjan Proper,23.0,22.0,24.0,7,0.9992646186769253,smallest,0
Japonic,20.0,19.0,25.0,4,0.5751406416207064,smallest,0
Jarawa-Onge,24.0,24.0,24.0,1,,smallest,0
Jarrakan,22.0,20.0,24.0,2,0.7230274907412287,smallest,0
Jicaquean,28.0,28.0,28.0,1,,smallest,0
Kadugli-Krongo,55.0,27.0,62.0,11,0.4251826445388698,smallest,0
Kakua-Nukak,22.0,22.0,24.0,3,0.9893002344772951,smallest,0
Kartvelian,33.0,32.5,41.0,6,0.9603009896662731,smallest,0
Kawesqar,19.0,19.0,19.0,3,,smallest,0
Keresan,51.0,51.0,51.0,1,,smallest,0
Khoe-Kwadi,33.0,29.0,41.0,3,0.97579427268658,smallest,0
Kiowa-Tanoan,42.0,38.0,61.0,5,0.5889463137744626,smallest,0
Kiwaian,19.0,19.0,19.0,1,,smallest,0
Koiarian,16.0,16.0,16.0,1,,smallest,0
Kolopom,44.0,44.0,44.0,1,,smallest,0
Koman,28.0,25.0,28.0,5,0.9999943055065038,smallest,0
Konda-Yahadian,33.0,33.0,33.0,1,,smallest,0
Koreanic,32.0,32.0,32.0,2,,smallest,0
Kresh-Aja,52.0,48.0,56.0,2,0.37833476546544015,smallest,0
Kru,39.0,36.0,48.0,11,0.7985665283782373,smallest,0
Kuliak,28.0,25.0,44.0,3,0.7901535993971067,smallest,0
Kunimaipan,20.0,20.0,20.0,2,,smallest,0
Kxa,130.5,120.0,141.0,2,1.507191598060317e-08,smallest,0
Limilngan-Wulna,25.0,25.0,25.0,1,,smallest,0
Maban,37.0,29.0,45.0,2,0.7563762614766605,smallest,0
Maiduan,23.0,23.0,23.0,2,,smallest,0
Mande,36.0,35.0,38.5,54,0.9258153124310184,smallest,0
Mangarrayi-Maran,23.0,21.0,26.0,6,0.8864203269892689,smallest,0
Maningrida,21.0,21.0,27.0,5,0.8097531794910332,smallest,0
Marrku-Wurrugu,24.5,23.0,26.0,2,0.9733275437813325,smallest,0
Mataguayan,28.0,21.0,32.0,5,0.9252873924092309,smallest,0
Mayan,29.0,26.0,32.0,14,0.9902070240225513,smallest,0
Maybratic,16.0,16.0,16.0,1,,smallest,0
Mirndi,21.0,19.0,23.0,8,0.6469721135254896,smallest,0
Misumalpan,28.0,28.0,28.0,1,,smallest,0
Miwok-Costanoan,30.0,21.0,39.0,2,0.7316572344730231,smallest,0
Mixe-Zoque,25.0,22.0,29.0,7,0.9151216290866038,smallest,0
Mongolic-Khitan,33.5,29.0,39.0,16,0.9822128830322095,smallest,0
Muskogean,21.0,17.0,25.0,5,0.5740429799793708,smallest,0
Naduhup,34.5,29.0,39.0,4,0.9994478610217424,smallest,0
Nakh-Daghestanian,53.0,47.0,66.0,17,0.37106052904146797,smallest,0
Nambiquaran,29.5,16.0,38.5,6,0.7566302481900345,smallest,0
Narrow Talodi,27.0,21.0,38.0,5,0.8776984685588141,smallest,0
Ndu,24.0,23.0,25.0,3,0.9999660655858269,smallest,0
Nilotic,37.0,32.0,40.0,31,0.737122909535634,smallest,0
Nimboranic,18.0,18.0,18.0,1,,smallest,0
Nivkh,34.0,34.0,34.0,3,,smallest,0
North Bougainville,11.0,11.0,11.0,1,,smallest,0
North Halmahera,24.0,23.0,25.0,2,0.9961752116650179,smallest,0
Northern Daly,19.0,19.0,19.0,2,,smallest,0
Nubian,21.0,21.0,21.0,2,,smallest,0
Nuclear Torricelli,22.0,19.0,26.0,6,0.6978518251847821,smallest,0
Nuclear Trans New Guinea,21.0,20.0,23.0,31,0.5830552653264546,smallest,0
Nuclear-Macro-Je,26.5,24.0,28.5,26,0.837367980913642,smallest,0
Nyimang,25.5,25.0,26.0,2,0.9999999999999996,smallest,0
