family_name,N,median_inventory,iqr_inventory,selection,replicate
Chumashan,1,44.0,0.0,random,6
Cochimi-Yuman,3,34.0,2.0,random,6
Dajuic,1,30.0,0.0,random,6
Dizoid,1,30.0,0.0,random,6
Dogon,3,42.0,2.5,random,6
Dravidian,42,37.0,13.75,random,6
East Strickland,1,18.0,0.0,random,6
Eastern Daly,1,22.0,0.0,random,6
Eastern Jebel,2,49.0,0.0,random,6
Eleman,1,14.0,0.0,random,6
Eskimo-Aleut,7,27.0,14.0,random,6
Furan,1,30.0,0.0,random,6
Garrwan,4,17.0,0.75,random,6
Giimbiyu,3,23.0,0.0,random,6
Great Andamanese,2,35.0,0.0,random,6
Guahiboan,5,25.0,13.0,random,6
Guaicuruan,10,28.0,6.0,random,6
Gumuz,1,44.0,0.0,random,6
Gunwinyguan,19,27.0,3.5,random,6
Haida,2,50.0,0.0,random,6
Harakmbut,1,33.0,0.0,random,6
Heibanic,6,40.0,8.5,random,6
Hibito-Cholon,1,20.0,0.0,random,6
Hmong-Mien,4,48.5,16.25,random,6
Huavean,2,29.0,0.0,random,6
Huitotoan,5,26.0,10.0,random,6
Ijoid,6,40.0,5.5,random,6
Indo-European,192,42.0,13.0,random,6
Iroquoian,5,22.0,10.0,random,6
Iwaidjan Proper,7,24.0,0.0,random,6
Japonic,4,21.0,1.5,random,6
Jarawa-Onge,1,24.0,0.0,random,6
Jarrakan,2,22.0,2.0,random,6
Jicaquean,1,28.0,0.0,random,6
Kadugli-Krongo,11,62.0,3.0,random,6
Kakua-Nukak,3,22.0,1.0,random,6
Kartvelian,6,34.0,4.25,random,6
Kawesqar,3,24.0,0.0,random,6
Keresan,1,51.0,0.0,random,6
Khoe-Kwadi,3,33.0,6.0,random,6
Kiowa-Tanoan,5,42.0,19.0,random,6
Kiwaian,1,19.0,0.0,random,6
Koiarian,1,16.0,0.0,random,6
Kolopom,1,44.0,0.0,random,6
Koman,5,28.0,3.0,random,6
Konda-Yahadian,1,33.0,0.0,random,6
Koreanic,2,38.0,0.0,random,6
Kresh-Aja,2,52.0,4.0,random,6
Kru,11,39.0,10.0,random,6
Kuliak,3,28.0,9.5,random,6
Kunimaipan,2,20.0,0.0,random,6
Kxa,2,130.5,10.5,random,6
Limilngan-Wulna,1,25.0,0.0,random,6
Maban,2,37.0,8.0,random,6
Maiduan,2,23.0,0.0,random,6
Mande,54,38.0,8.75,random,6
Mangarrayi-Maran,6,24.0,4.5,random,6
Maningrida,5,21.0,4.0,random,6
Marrku-Wurrugu,2,24.5,1.5,random,6
Mataguayan,5,28.0,0.0,random,6
Mayan,14,30.0,6.0,random,6
Maybratic,1,16.0,0.0,random,6
Mirndi,8,21.0,2.5,random,6
Misumalpan,1,28.0,0.0,random,6
Miwok-Costanoan,2,30.0,9.0,random,6
Mixe-Zoque,7,25.0,5.0,random,6
Mongolic-Khitan,16,33.5,10.0,random,6
Muskogean,5,21.0,4.0,random,6
Naduhup,4,34.5,3.25,random,6
Nakh-Daghestanian,17,56.0,19.0,random,6
Nambiquaran,6,29.5,14.25,random,6
Narrow Talodi,5,27.0,9.0,random,6
Ndu,3,24.0,1.0,random,6
Nilotic,31,38.0,16.0,random,6
Nimboranic,1,18.0,0.0,random,6
Nivkh,3,44.0,0.0,random,6
North Bougainville,1,11.0,0.0,random,6
North Halmahera,2,24.0,1.0,random,6
Northern Daly,2,19.0,0.0,random,6
Nubian,2,21.0,0.0,random,6
Nuclear Torricelli,6,22.0,1.5,random,6
Nuclear Trans New Guinea,31,21.0,5.0,random,6
Nuclear-Macro-Je,26,27.0,8.0,random,6
Nyimang,2,25.5,0.5,random,6
Nyulnyulan,11,20.0,5.0,random,6
Otomanguean,20,36.0,17.5,random,6
Palaihnihan,1,23.0,0.0,random,6
Pama-Nyungan,324,23.0,5.0,random,6
Pano-Tacanan,34,21.0,1.75,random,6
Peba-Yagua,3,23.0,2.5,random,6
Pidgin,1,36.0,0.0,random,6
Pomoan,3,32.0,3.5,random,6
Puri-Coroado,1,18.0,0.0,random,6
Quechuan,27,23.0,5.0,random,6
Sahaptian,2,36.0,0.0,random,6
Saharan,5,32.0,8.0,random,6
Saliban,3,32.0,1.0,random,6
Salishan,11,40.0,6.5,random,6
Senagi,1,17.0,0.0,random,6
Sentanic,2,17.0,0.0,random,6
Sepik,8,19.0,10.0,random,6
Shastan,1,21.0,0.0,random,6
Sino-Tibetan,135,45.0,17.5,random,6
Siouan,4,29.5,13.75,random,6
Sko,3,23.0,5.0,random,6
Songhay,7,40.0,6.0,random,6
South Bird's Head,1,18.0,0.0,random,6
South Bougainville,2,18.0,0.0,random,6
South Omotic,3,36.0,19.0,random,6
Southern Daly,4,24.0,2.75,random,6
Speech Register,1,32.0,0.0,random,6
Surmic,6,34.0,6.75,random,6
Ta-Ne-Omotic,12,38.0,18.0,random,6
Tai-Kadai,25,34.0,11.0,random,6
Tamaic,1,30.0,0.0,random,6
Tangkic,4,23.5,1.25,random,6
Tarascan,2,32.0,0.0,random,6
Teberan,1,23.0,0.0,random,6
Temeinic,2,36.0,11.0,random,6
Ticuna-Yuri,2,33.0,0.0,random,6
Timor-Alor-Pantar,2,34.0,6.0,random,6
Totonacan,4,30.0,8.5,random,6
Tsimshian,2,41.5,0.5,random,6
Tucanoan,23,23.0,4.5,random,6
Tungusic,7,27.0,3.0,random,6
Tupian,61,26.0,5.0,random,6
Turkic,32,37.0,5.5,random,6
Tuu,1,161.0,0.0,random,6
Unclassifiable,1,21.0,0.0,random,6
Uralic,46,34.0,10.0,random,6
Uru-Chipaya,2,42.0,9.0,random,6
Uto-Aztecan,18,30.0,11.75,random,6
Wakashan,4,47.5,1.0,random,6
Western Daly,6,27.5,7.75,random,6
Wintuan,1,35.0,0.0,random,6
Worrorran,9,25.0,1.0,random,6
Yangmanic,2,22.0,0.0,random,6
Yanomamic,11,24.0,10.5,random,6
Yareban,1,18.0,0.0,random,6
Yawa-Saweru,1,19.0,0.0,random,6
Yeniseian,2,25.0,0.0,random,6
Yukaghir,5,26.0,7.0,random,6
Yuki-Wappo,2,32.5,2.5,random,6
Zamucoan,2,33.5,3.5,random,6
Zaparoan,5,19.0,4.0,random,6
(Unknown),103,29.0,14.0,random,7
Abkhaz-Adyge,4,57.5,3.75,random,7
Afro-Asiatic,139,41.0,10.5,random,7
Ainu,2,16.0,0.0,random,7
Algic,8,28.0,9.5,random,7
Angan,1,21.0,0.0,random,7
Araucanian,3,28.0,0.0,random,7
Arawakan,58,26.0,6.0,random,7
Arawan,6,21.5,5.5,random,7
Athabaskan-Eyak-Tlingit,14,49.5,10.0,random,7
Atlantic-Congo,479,38.0,13.0,random,7
Austroasiatic,52,39.0,8.0,random,7
Austronesian,131,25.0,9.0,random,7
Aymaran,4,39.0,2.0,random,7
Baining,1,22.0,0.0,random,7
Barbacoan,9,26.0,3.0,random,7
Blue Nile Mao,1,36.0,0.0,random,7
Bookkeeping,4,32.5,15.0,random,7
Boran,4,29.5,5.5,random,7
Border,3,22.0,2.0,random,7
Bororoan,3,22.0,1.0,random,7
Bunaban,2,23.5,0.5,random,7
Caddoan,3,29.0,3.0,random,7
Cahuapanan,3,21.0,1.5,random,7
Cariban,30,21.0,6.0,random,7
Central Sudanic,25,45.0,10.0,random,7
Chapacuran,3,20.0,1.0,random,7
Chibchan,12,27.0,5.5,random,7
Chicham,6,24.0,0.75,random,7
Chimakuan,1,37.0,0.0,random,7
Chiquitano,1,26.0,0.0,random,7
Chocoan,7,33.0,4.0,random,7
Chonan,3,35.0,3.0,random,7
Chukotko-Kamchatkan,6,24.5,8.75,random,7
Chumashan,1,40.0,0.0,random,7
Cochimi-Yuman,3,34.0,2.0,random,7
Dajuic,1,30.0,0.0,random,7
Dizoid,1,30.0,0.0,random,7
Dogon,3,42.0,2.5,random,7
Dravidian,42,39.0,10.75,random,7
East Strickland,1,18.0,0.0,random,7
Eastern Daly,1,22.0,0.0,random,7
Eastern Jebel,2,49.0,0.0,random,7
Eleman,1,14.0,0.0,random,7
Eskimo-Aleut,7,27.0,10.0,random,7
Furan,1,30.0,0.0,random,7
Garrwan,4,22.0,0.5,random,7
Giimbiyu,3,23.0,0.0,random,7
Great Andamanese,2,35.0,0.0,random,7
Guahiboan,5,25.0,7.0,random,7
Guaicuruan,10,28.0,9.0,random,7
Gumuz,1,44.0,0.0,random,7
Gunwinyguan,19,27.0,3.5,random,7
Haida,2,49.0,0.0,random,7
Harakmbut,1,33.0,0.0,random,7
Heibanic,6,40.0,8.5,random,7
Hibito-Cholon,1,20.0,0.0,random,7
Hmong-Mien,4,52.5,8.25,random,7
Huavean,2,24.0,0.0,random,7
Huitotoan,5,26.0,14.0,random,7
Ijoid,6,40.0,5.5,random,7
Indo-European,192,40.0,12.0,random,7
Iroquoian,5,19.0,2.0,random,7
Iwaidjan Proper,7,24.0,0.0,random,7
Japonic,4,21.0,1.5,random,7
Jarawa-Onge,1,24.0,0.0,random,7
Jarrakan,2,22.0,2.0,random,7
Jicaquean,1,28.0,0.0,random,7
Kadugli-Krongo,11,62.0,3.0,random,7
Kakua-Nukak,3,22.0,1.0,random,7
Kartvelian,6,35.0,2.25,random,7
Kawesqar,3,19.0,0.0,random,7
Keresan,1,51.0,0.0,random,7
Khoe-Kwadi,3,33.0,6.0,random,7
Kiowa-Tanoan,5,42.0,16.0,random,7
Kiwaian,1,19.0,0.0,random,7
Koiarian,1,16.0,0.0,random,7
Kolopom,1,44.0,0.0,random,7
Koman,5,28.0,3.0,random,7
Konda-Yahadian,1,33.0,0.0,random,7
Koreanic,2,32.0,0.0,random,7
Kresh-Aja,2,52.0,4.0,random,7
Kru,11,39.0,10.0,random,7
Kuliak,3,28.0,9.5,random,7
Kunimaipan,2,20.0,0.0,random,7
Kxa,2,130.5,10.5,random,7
Limilngan-Wulna,1,25.0,0.0,random,7
Maban,2,37.0,8.0,random,7
Maiduan,2,23.0,0.0,random,7
Mande,54,39.0,9.5,random,7
Mangarrayi-Maran,6,23.0,3.0,random,7
Maningrida,5,21.0,4.0,random,7
Marrku-Wurrugu,2,24.5,1.5,random,7
Mataguayan,5,28.0,0.0,random,7
Mayan,14,29.0,6.0,random,7
Maybratic,1,16.0,0.0,random,7
Mirndi,8,21.0,2.5,random,7
Misumalpan,1,28.0,0.0,random,7
Miwok-Costanoan,2,30.0,9.0,random,7
Mixe-Zoque,7,25.0,5.0,random,7
Mongolic-Khitan,16,35.0,6.0,random,7
Muskogean,5,21.0,8.0,random,7
Naduhup,4,34.5,2.0,random,7
Nakh-Daghestanian,17,64.0,20.0,random,7
Nambiquaran,6,29.5,12.75,random,7
Narrow Talodi,5,27.0,9.0,random,7
Ndu,3,24.0,1.0,random,7
Nilotic,31,38.0,16.0,random,7
Nimboranic,1,18.0,0.0,random,7
Nivkh,3,35.0,0.0,random,7
North Bougainville,1,11.0,0.0,random,7
North Halmahera,2,24.0,1.0,random,7
Northern Daly,2,19.0,0.0,random,7
Nubian,2,21.0,0.0,random,7
Nuclear Torricelli,6,22.0,1.5,random,7
Nuclear Trans New Guinea,31,21.0,5.0,random,7
Nuclear-Macro-Je,26,26.5,8.5,random,7
Nyimang,2,25.5,0.5,random,7
Nyulnyulan,11,20.0,4.0,random,7
Otomanguean,20,38.0,17.5,random,7
Palaihnihan,1,23.0,0.0,random,7
Pama-Nyungan,324,23.0,5.0,random,7
Pano-Tacanan,34,21.0,2.0,random,7
Peba-Yagua,3,23.0,2.5,random,7
Pidgin,1,36.0,0.0,random,7
Pomoan,3,32.0,3.5,random,7
Puri-Coroado,1,18.0,0.0,random,7
Quechuan,27,24.0,5.5,random,7
Sahaptian,2,30.0,0.0,random,7
Saharan,5,35.0,2.0,random,7
Saliban,3,32.0,1.0,random,7
Salishan,11,40.0,6.5,random,7
Senagi,1,17.0,0.0,random,7
Sentanic,2,17.0,0.0,random,7
Sepik,8,19.0,10.0,random,7
Shastan,1,21.0,0.0,random,7
Sino-Tibetan,135,43.0,19.5,random,7
Siouan,4,29.5,13.75,random,7
Sko,3,23.0,5.0,random,7
Songhay,7,40.0,19.0,random,7
South Bird's Head,1,18.0,0.0,random,7
South Bougainville,2,18.0,0.0,random,7
South Omotic,3,36.0,19.0,random,7
Southern Daly,4,28.0,0.75,random,7
Speech Register,1,32.0,0.0,random,7
Surmic,6,34.0,6.75,random,7
Ta-Ne-Omotic,12,38.0,21.5,random,7
Tai-Kadai,25,34.0,7.0,random,7
Tamaic,1,30.0,0.0,random,7
Tangkic,4,24.0,0.25,random,7
Tarascan,2,39.0,0.0,random,7
Teberan,1,23.0,0.0,random,7
Temeinic,2,36.0,11.0,random,7
Ticuna-Yuri,2,33.0,0.0,random,7
Timor-Alor-Pantar,2,34.0,6.0,random,7
Totonacan,4,30.0,8.5,random,7
Tsimshian,2,41.5,0.5,random,7
Tucanoan,23,23.0,7.5,random,7
Tungusic,7,29.0,9.0,random,7
Tupian,61,26.0,6.0,random,7
Turkic,32,38.0,8.5,random,7
Tuu,1,161.0,0.0,random,7
Unclassifiable,1,21.0,0.0,random,7
Uralic,46,34.0,9.0,random,7
Uru-Chipaya,2,42.0,9.0,random,7
Uto-Aztecan,18,26.0,6.25,random,7
Wakashan,4,48.5,13.0,random,7
Western Daly,6,27.5,7.75,random,7
Wintuan,1,35.0,0.0,random,7
Worrorran,9,25.0,1.0,random,7
Yangmanic,2,22.0,0.0,random,7
Yanomamic,11,31.0,13.5,random,7
Yareban,1,18.0,0.0,random,7
Yawa-Saweru,1,19.0,0.0,random,7
Yeniseian,2,25.0,0.0,random,7
Yukaghir,5,26.0,10.0,random,7
Yuki-Wappo,2,32.5,2.5,random,7
Zamucoan,2,33.5,3.5,random,7
Zaparoan,5,25.0,7.0,random,7
(Unknown),103,29.0,11.5,random,8
Abkhaz-Adyge,4,57.5,5.75,random,8
Afro-Asiatic,139,41.0,13.0,random,8
Ainu,2,16.0,0.0,random,8
Algic,8,28.0,9.5,random,8
Angan,1,21.0,0.0,random,8
Araucanian,3,26.0,0.0,random,8
Arawakan,58,25.0,8.0,random,8
Arawan,6,21.5,6.25,random,8
Athabaskan-Eyak-Tlingit,14,49.5,10.0,random,8
Atlantic-Congo,479,38.0,13.0,random,8
Austroasiatic,52,40.0,10.25,random,8
Austronesian,131,25.0,7.0,random,8
Aymaran,4,42.0,2.75,random,8
Baining,1,22.0,0.0,random,8
Barbacoan,9,25.0,3.0,random,8
Blue Nile Mao,1,36.0,0.0,random,8
Bookkeeping,4,32.5,15.0,random,8
Boran,4,29.5,5.5,random,8
Border,3,22.0,2.0,random,8
Bororoan,3,20.0,0.0,random,8
Bunaban,2,23.5,0.5,random,8
Caddoan,3,29.0,3.0,random,8
Cahuapanan,3,21.0,1.5,random,8
Cariban,30,23.0,5.75,random,8
Central Sudanic,25,45.0,10.0,random,8
Chapacuran,3,20.0,1.0,random,8
Chibchan,12,27.0,5.5,random,8
Chicham,6,24.0,0.75,random,8
Chimakuan,1,37.0,0.0,random,8
Chiquitano,1,26.0,0.0,random,8
Chocoan,7,31.0,1.5,random,8
Chonan,3,35.0,3.0,random,8
Chukotko-Kamchatkan,6,24.0,10.5,random,8
Chumashan,1,40.0,0.0,random,8
Cochimi-Yuman,3,34.0,2.0,random,8
Dajuic,1,30.0,0.0,random,8
Dizoid,1,30.0,0.0,random,8
Dogon,3,42.0,2.5,random,8
Dravidian,42,37.5,13.0,random,8
East Strickland,1,18.0,0.0,random,8
Eastern Daly,1,22.0,0.0,random,8
Eastern Jebel,2,33.0,0.0,random,8
Eleman,1,14.0,0.0,random,8
Eskimo-Aleut,7,27.0,5.0,random,8
Furan,1,30.0,0.0,random,8
Garrwan,4,17.0,0.75,random,8
Giimbiyu,3,23.0,0.0,random,8
Great Andamanese,2,35.0,0.0,random,8
Guahiboan,5,25.0,13.0,random,8
Guaicuruan,10,28.0,9.0,random,8
Gumuz,1,44.0,0.0,random,8
Gunwinyguan,19,27.0,3.5,random,8
Haida,2,49.0,0.0,random,8
Harakmbut,1,33.0,0.0,random,8
Heibanic,6,40.0,8.5,random,8
Hibito-Cholon,1,20.0,0.0,random,8
Hmong-Mien,4,52.5,8.25,random,8
Huavean,2,29.0,0.0,random,8
Huitotoan,5,26.0,14.0,random,8
Ijoid,6,40.0,5.5,random,8
Indo-European,192,40.0,13.0,random,8
Iroquoian,5,22.0,10.0,random,8
Iwaidjan Proper,7,23.0,2.0,random,8
Japonic,4,32.5,16.5,random,8
Jarawa-Onge,1,24.0,0.0,random,8
Jarrakan,2,22.0,2.0,random,8
Jicaquean,1,28.0,0.0,random,8
Kadugli-Krongo,11,55.0,33.5,random,8
Kakua-Nukak,3,26.0,1.0,random,8
Kartvelian,6,34.5,1.75,random,8
Kawesqar,3,24.0,0.0,random,8
Keresan,1,51.0,0.0,random,8
Khoe-Kwadi,3,33.0,6.0,random,8
Kiowa-Tanoan,5,42.0,16.0,random,8
Kiwaian,1,19.0,0.0,random,8
Koiarian,1,16.0,0.0,random,8
Kolopom,1,44.0,0.0,random,8
Koman,5,28.0,6.0,random,8
Konda-Yahadian,1,33.0,0.0,random,8
Koreanic,2,40.0,0.0,random,8
Kresh-Aja,2,52.0,4.0,random,8
Kru,11,39.0,10.0,random,8
Kuliak,3,28.0,9.5,random,8
Kunimaipan,2,20.0,0.0,random,8
Kxa,2,130.5,10.5,random,8
Limilngan-Wulna,1,25.0,0.0,random,8
Maban,2,37.0,8.0,random,8
Maiduan,2,23.0,0.0,random,8
Mande,54,38.5,9.0,random,8
Mangarrayi-Maran,6,24.0,3.0,random,8
Maningrida,5,21.0,4.0,random,8
Marrku-Wurrugu,2,24.5,1.5,random,8
Mataguayan,5,28.0,0.0,random,8
Mayan,14,32.0,7.75,random,8
Maybratic,1,16.0,0.0,random,8
Mirndi,8,21.0,2.5,random,8
Misumalpan,1,28.0,0.0,random,8
Miwok-Costanoan,2,30.0,9.0,random,8
Mixe-Zoque,7,29.0,6.5,random,8
Mongolic-Khitan,16,33.5,10.0,random,8
Muskogean,5,21.0,4.0,random,8
Naduhup,4,34.5,2.0,random,8
Nakh-Daghestanian,17,64.0,17.0,random,8
Nambiquaran,6,29.5,14.25,random,8
Narrow Talodi,5,27.0,9.0,random,8
Ndu,3,24.0,1.0,random,8
Nilotic,31,38.0,16.0,random,8
Nimboranic,1,18.0,0.0,random,8
Nivkh,3,35.0,0.0,random,8
North Bougainville,1,11.0,0.0,random,8
North Halmahera,2,24.0,1.0,random,8
Northern Daly,2,19.0,0.0,random,8
Nubian,2,45.0,0.0,random,8
Nuclear Torricelli,6,22.0,1.5,random,8
Nuclear Trans New Guinea,31,21.0,6.5,random,8
Nuclear-Macro-Je,26,26.5,8.5,random,8
Nyimang,2,25.5,0.5,random,8
Nyulnyulan,11,20.0,4.0,random,8
Otomanguean,20,38.0,17.5,random,8
Palaihnihan,1,23.0,0.0,random,8
Pama-Nyungan,324,23.0,5.0,random,8
Pano-Tacanan,34,21.0,2.0,random,8
Peba-Yagua,3,23.0,2.5,random,8
Pidgin,1,36.0,0.0,random,8
Pomoan,3,32.0,3.5,random,8
Puri-Coroado,1,18.0,0.0,random,8
Quechuan,27,25.0,7.0,random,8
Sahaptian,2,30.0,0.0,random,8
Saharan,5,35.0,2.0,random,8
Saliban,3,32.0,1.0,random,8
Salishan,11,40.0,6.5,random,8
Senagi,1,17.0,0.0,random,8
Sentanic,2,17.0,0.0,random,8
Sepik,8,19.0,10.0,random,8
Shastan,1,21.0,0.0,random,8
Sino-Tibetan,135,43.0,16.5,random,8
Siouan,4,29.5,13.75,random,8
Sko,3,23.0,5.0,random,8
Songhay,7,40.0,19.0,random,8
South Bird's Head,1,18.0,0.0,random,8
South Bougainville,2,13.0,0.0,random,8
South Omotic,3,36.0,19.0,random,8
Southern Daly,4,28.0,0.75,random,8
Speech Register,1,32.0,0.0,random,8
Surmic,6,34.0,6.75,random,8
Ta-Ne-Omotic,12,38.0,13.5,random,8
Tai-Kadai,25,33.0,4.0,random,8
Tamaic,1,30.0,0.0,random,8
Tangkic,4,24.0,0.25,random,8
Tarascan,2,39.0,0.0,random,8
Teberan,1,23.0,0.0,random,8
Temeinic,2,36.0,11.0,random,8
Ticuna-Yuri,2,33.0,0.0,random,8
Timor-Alor-Pantar,2,34.0,6.0,random,8
Totonacan,4,28.0,12.5,random,8
Tsimshian,2,41.5,0.5,random,8
Tucanoan,23,23.0,4.5,random,8
Tungusic,7,25.0,2.0,random,8
Tupian,61,26.0,4.0,random,8
Turkic,32,37.0,6.25,random,8
Tuu,1,161.0,0.0,random,8
Unclassifiable,1,21.0,0.0,random,8
Uralic,46,36.0,9.0,random,8
Uru-Chipaya,2,42.0,9.0,random,8
Uto-Aztecan,18,30.0,11.75,random,8
Wakashan,4,51.0,8.0,random,8
Western Daly,6,27.5,7.75,random,8
Wintuan,1,35.0,0.0,random,8
Worrorran,9,25.0,1.0,random,8
Yangmanic,2,22.0,0.0,random,8
Yanomamic,11,31.0,12.0,random,8
Yareban,1,18.0,0.0,random,8
Yawa-Saweru,1,19.0,0.0,random,8
Yeniseian,2,25.0,0.0,random,8
Yukaghir,5,39.0,3.0,random,8
Yuki-Wappo,2,32.5,2.5,random,8
Zamucoan,2,33.5,3.5,random,8
Zaparoan,5,19.0,4.0,random,8
(Unknown),103,30.0,14.0,random,9
Abkhaz-Adyge,4,57.5,5.75,random,9
Afro-Asiatic,139,40.0,12.0,random,9
Ainu,2,17.0,0.0,random,9
Algic,8,28.0,9.5,random,9
Angan,1,21.0,0.0,random,9
Araucanian,3,26.0,0.0,random,9
Arawakan,58,25.0,6.75,random,9
Arawan,6,21.5,5.5,random,9
Athabaskan-Eyak-Tlingit,14,49.5,10.0,random,9
Atlantic-Congo,479,38.0,13.0,random,9
Austroasiatic,52,38.5,10.25,random,9
Austronesian,131,24.0,7.5,random,9
Aymaran,4,39.0,1.75,random,9
Baining,1,22.0,0.0,random,9
Barbacoan,9,25.0,3.0,random,9
Blue Nile Mao,1,36.0,0.0,random,9
Bookkeeping,4,32.5,15.0,random,9
Boran,4,29.5,5.5,random,9
Border,3,22.0,2.0,random,9
Bororoan,3,20.0,0.0,random,9
Bunaban,2,23.5,0.5,random,9
Caddoan,3,29.0,3.0,random,9
Cahuapanan,3,23.0,2.5,random,9
Cariban,30,23.0,5.0,random,9
Central Sudanic,25,45.0,10.0,random,9
Chapacuran,3,21.0,1.5,random,9
Chibchan,12,25.5,6.0,random,9
Chicham,6,23.0,0.0,random,9
Chimakuan,1,37.0,0.0,random,9
Chiquitano,1,26.0,0.0,random,9
Chocoan,7,31.0,1.5,random,9
Chonan,3,31.0,1.0,random,9
Chukotko-Kamchatkan,6,24.5,8.75,random,9
Chumashan,1,44.0,0.0,random,9
Cochimi-Yuman,3,34.0,2.0,random,9
Dajuic,1,30.0,0.0,random,9
Dizoid,1,30.0,0.0,random,9
Dogon,3,42.0,2.5,random,9
Dravidian,42,39.0,13.5,random,9
East Strickland,1,18.0,0.0,random,9
Eastern Daly,1,22.0,0.0,random,9
Eastern Jebel,2,33.0,0.0,random,9
Eleman,1,14.0,0.0,random,9
Eskimo-Aleut,7,27.0,10.0,random,9
Furan,1,30.0,0.0,random,9
Garrwan,4,17.0,0.75,random,9
Giimbiyu,3,23.0,0.0,random,9
Great Andamanese,2,35.0,0.0,random,9
Guahiboan,5,25.0,7.0,random,9
Guaicuruan,10,26.0,6.0,random,9
Gumuz,1,44.0,0.0,random,9
Gunwinyguan,19,27.0,3.5,random,9
Haida,2,50.0,0.0,random,9
Harakmbut,1,33.0,0.0,random,9
Heibanic,6,40.0,8.5,random,9
Hibito-Cholon,1,20.0,0.0,random,9
Hmong-Mien,4,48.5,16.25,random,9
Huavean,2,24.0,0.0,random,9
Huitotoan,5,26.0,14.0,random,9
Ijoid,6,40.0,5.5,random,9
Indo-European,192,39.5,12.0,random,9
Iroquoian,5,22.0,10.0,random,9
Iwaidjan Proper,7,24.0,0.0,random,9
Japonic,4,32.5,16.5,random,9
Jarawa-Onge,1,24.0,0.0,random,9
Jarrakan,2,22.0,2.0,random,9
Jicaquean,1,28.0,0.0,random,9
Kadugli-Krongo,11,55.0,33.5,random,9
Kakua-Nukak,3,26.0,1.0,random,9
Kartvelian,6,33.0,1.5,random,9
Kawesqar,3,19.0,0.0,random,9
Keresan,1,51.0,0.0,random,9
Khoe-Kwadi,3,33.0,6.0,random,9
Kiowa-Tanoan,5,42.0,16.0,random,9
Kiwaian,1,19.0,0.0,random,9
Koiarian,1,16.0,0.0,random,9
Kolopom,1,44.0,0.0,random,9
Koman,5,28.0,3.0,random,9
Konda-Yahadian,1,33.0,0.0,random,9
Koreanic,2,38.0,0.0,random,9
Kresh-Aja,2,52.0,4.0,random,9
Kru,11,39.0,10.0,random,9
Kuliak,3,28.0,9.5,random,9
Kunimaipan,2,20.0,0.0,random,9
Kxa,2,130.5,10.5,random,9
Limilngan-Wulna,1,25.0,0.0,random,9
Maban,2,37.0,8.0,random,9
Maiduan,2,23.0,0.0,random,9
Mande,54,36.0,9.0,random,9
Mangarrayi-Maran,6,24.0,3.0,random,9
Maningrida,5,26.0,1.0,random,9
Marrku-Wurrugu,2,24.5,1.5,random,9
Mataguayan,5,28.0,0.0,random,9
Mayan,14,29.0,6.0,random,9
Maybratic,1,16.0,0.0,random,9
Mirndi,8,21.0,2.5,random,9
Misumalpan,1,28.0,0.0,random,9
Miwok-Costanoan,2,30.0,9.0,random,9
Mixe-Zoque,7,29.0,6.5,random,9
Mongolic-Khitan,16,36.0,10.75,random,9
Muskogean,5,21.0,8.0,random,9
Naduhup,4,34.5,2.0,random,9
Nakh-Daghestanian,17,60.0,17.0,random,9
Nambiquaran,6,29.5,12.75,random,9
Narrow Talodi,5,27.0,9.0,random,9
Ndu,3,24.0,1.0,random,9
Nilotic,31,38.0,15.5,random,9
Nimboranic,1,18.0,0.0,random,9
Nivkh,3,35.0,0.0,random,9
North Bougainville,1,11.0,0.0,random,9
North Halmahera,2,24.0,1.0,random,9
Northern Daly,2,19.0,0.0,random,9
Nubian,2,45.0,0.0,random,9
Nuclear Torricelli,6,22.0,1.5,random,9
Nuclear Trans New Guinea,31,21.0,5.0,random,9
Nuclear-Macro-Je,26,26.5,8.0,random,9
Nyimang,2,25.5,0.5,random,9
Nyulnyulan,11,20.0,5.0,random,9
Otomanguean,20,36.0,19.5,random,9
Palaihnihan,1,23.0,0.0,random,9
Pama-Nyungan,324,23.0,5.0,random,9
Pano-Tacanan,34,22.0,2.0,random,9
Peba-Yagua,3,23.0,2.5,random,9
Pidgin,1,36.0,0.0,random,9
Pomoan,3,38.0,0.5,random,9
Puri-Coroado,1,18.0,0.0,random,9
Quechuan,27,24.0,5.0,random,9
Sahaptian,2,30.0,0.0,random,9
Saharan,5,32.0,8.0,random,9
Saliban,3,30.0,0.0,random,9
Salishan,11,40.0,6.5,random,9
Senagi,1,17.0,0.0,random,9
Sentanic,2,17.0,0.0,random,9
Sepik,8,19.0,10.0,random,9
Shastan,1,21.0,0.0,random,9
Sino-Tibetan,135,46.0,17.0,random,9
Siouan,4,29.5,13.75,random,9
Sko,3,23.0,5.0,random,9
Songhay,7,36.0,14.0,random,9
South Bird's Head,1,18.0,0.0,random,9
South Bougainville,2,18.0,0.0,random,9
South Omotic,3,36.0,19.0,random,9
Southern Daly,4,24.0,2.75,random,9
Speech Register,1,32.0,0.0,random,9
Surmic,6,34.0,6.75,random,9
Ta-Ne-Omotic,12,38.0,13.5,random,9
Tai-Kadai,25,35.0,12.0,random,9
Tamaic,1,30.0,0.0,random,9
Tangkic,4,23.5,1.25,random,9
Tarascan,2,32.0,0.0,random,9
Teberan,1,23.0,0.0,random,9
Temeinic,2,36.0,11.0,random,9
Ticuna-Yuri,2,38.0,0.0,random,9
