family_name,N,median_inventory,iqr_inventory,selection,replicate
North Bougainville,1,11.0,0.0,smallest,0
North Halmahera,2,24.0,1.0,smallest,0
Northern Daly,2,19.0,0.0,smallest,0
Nubian,2,21.0,0.0,smallest,0
Nuclear Torricelli,6,22.0,1.5,smallest,0
Nuclear Trans New Guinea,31,21.0,6.5,smallest,0
Nuclear-Macro-Je,26,26.5,5.75,smallest,0
Nyimang,2,25.5,0.5,smallest,0
Nyulnyulan,11,20.0,4.0,smallest,0
Otomanguean,20,36.0,19.5,smallest,0
Palaihnihan,1,23.0,0.0,smallest,0
Pama-Nyungan,324,23.0,5.0,smallest,0
Pano-Tacanan,34,21.0,2.0,smallest,0
Peba-Yagua,3,23.0,2.5,smallest,0
Pidgin,1,36.0,0.0,smallest,0
Pomoan,3,32.0,3.5,smallest,0
Puri-Coroado,1,18.0,0.0,smallest,0
Quechuan,27,23.0,5.0,smallest,0
Sahaptian,2,30.0,0.0,smallest,0
Saharan,5,32.0,8.0,smallest,0
Saliban,3,30.0,0.0,smallest,0
Salishan,11,40.0,6.5,smallest,0
Senagi,1,17.0,0.0,smallest,0
Sentanic,2,17.0,0.0,smallest,0
Sepik,8,19.0,10.0,smallest,0
Shastan,1,21.0,0.0,smallest,0
Sino-Tibetan,135,41.0,17.5,smallest,0
Siouan,4,29.5,13.75,smallest,0
Sko,3,23.0,5.0,smallest,0
Songhay,7,36.0,14.0,smallest,0
South Bird's Head,1,18.0,0.0,smallest,0
South Bougainville,2,13.0,0.0,smallest,0
South Omotic,3,36.0,19.0,smallest,0
Southern Daly,4,24.0,2.75,smallest,0
Speech Register,1,32.0,0.0,smallest,0
Surmic,6,34.0,6.75,smallest,0
Ta-Ne-Omotic,12,38.0,13.5,smallest,0
Tai-Kadai,25,33.0,4.0,smallest,0
Tamaic,1,30.0,0.0,smallest,0
Tangkic,4,23.5,1.25,smallest,0
Tarascan,2,32.0,0.0,smallest,0
Teberan,1,23.0,0.0,smallest,0
Temeinic,2,36.0,11.0,smallest,0
Ticuna-Yuri,2,29.0,0.0,smallest,0
Timor-Alor-Pantar,2,34.0,6.0,smallest,0
Totonacan,4,28.0,12.5,smallest,0
Tsimshian,2,41.5,0.5,smallest,0
Tucanoan,23,22.0,6.0,smallest,0
Tungusic,7,25.0,2.0,smallest,0
Tupian,61,26.0,5.0,smallest,0
Turkic,32,33.5,8.0,smallest,0
Tuu,1,161.0,0.0,smallest,0
Unclassifiable,1,21.0,0.0,smallest,0
Uralic,46,33.0,9.75,smallest,0
Uru-Chipaya,2,42.0,9.0,smallest,0
Uto-Aztecan,18,26.0,6.25,smallest,0
Wakashan,4,45.0,6.0,smallest,0
Western Daly,6,27.5,7.75,smallest,0
Wintuan,1,35.0,0.0,smallest,0
Worrorran,9,25.0,1.0,smallest,0
Yangmanic,2,22.0,0.0,smallest,0
Yanomamic,11,20.0,5.0,smallest,0
Yareban,1,18.0,0.0,smallest,0
Yawa-Saweru,1,19.0,0.0,smallest,0
Yeniseian,2,25.0,0.0,smallest,0
Yukaghir,5,26.0,7.0,smallest,0
Yuki-Wappo,2,32.5,2.5,smallest,0
Zamucoan,2,33.5,3.5,smallest,0
Zaparoan,5,19.0,4.0,smallest,0
(Unknown),103,30.0,13.0,random,1
Abkhaz-Adyge,4,57.5,5.75,random,1
Afro-Asiatic,139,40.0,12.0,random,1
Ainu,2,17.0,0.0,random,1
Algic,8,28.0,9.5,random,1
Angan,1,21.0,0.0,random,1
Araucanian,3,28.0,0.0,random,1
Arawakan,58,25.0,7.0,random,1
Arawan,6,21.5,3.25,random,1
Athabaskan-Eyak-Tlingit,14,49.5,12.0,random,1
Atlantic-Congo,479,38.0,13.0,random,1
Austroasiatic,52,40.0,11.0,random,1
Austronesian,131,25.0,7.0,random,1
Aymaran,4,42.0,2.5,random,1
Baining,1,22.0,0.0,random,1
Barbacoan,9,26.0,3.0,random,1
Blue Nile Mao,1,36.0,0.0,random,1
Bookkeeping,4,32.5,15.0,random,1
Boran,4,29.5,5.5,random,1
Border,3,22.0,2.0,random,1
Bororoan,3,22.0,1.0,random,1
Bunaban,2,23.5,0.5,random,1
Caddoan,3,29.0,3.0,random,1
Cahuapanan,3,21.0,1.5,random,1
Cariban,30,21.0,4.75,random,1
Central Sudanic,25,45.0,10.0,random,1
Chapacuran,3,21.0,1.5,random,1
Chibchan,12,25.5,6.0,random,1
Chicham,6,21.0,1.5,random,1
Chimakuan,1,37.0,0.0,random,1
Chiquitano,1,26.0,0.0,random,1
Chocoan,7,33.0,4.0,random,1
Chonan,3,35.0,3.0,random,1
Chukotko-Kamchatkan,6,24.5,8.75,random,1
Chumashan,1,44.0,0.0,random,1
Cochimi-Yuman,3,34.0,2.0,random,1
Dajuic,1,30.0,0.0,random,1
Dizoid,1,30.0,0.0,random,1
Dogon,3,28.0,9.5,random,1
Dravidian,42,38.5,9.0,random,1
East Strickland,1,18.0,0.0,random,1
Eastern Daly,1,22.0,0.0,random,1
Eastern Jebel,2,49.0,0.0,random,1
Eleman,1,14.0,0.0,random,1
Eskimo-Aleut,7,27.0,14.0,random,1
Furan,1,30.0,0.0,random,1
Garrwan,4,17.0,0.75,random,1
Giimbiyu,3,23.0,0.0,random,1
Great Andamanese,2,35.0,0.0,random,1
Guahiboan,5,25.0,7.0,random,1
Guaicuruan,10,26.0,8.0,random,1
Gumuz,1,44.0,0.0,random,1
Gunwinyguan,19,27.0,3.0,random,1
Haida,2,50.0,0.0,random,1
Harakmbut,1,33.0,0.0,random,1
Heibanic,6,40.0,8.5,random,1
Hibito-Cholon,1,20.0,0.0,random,1
Hmong-Mien,4,52.5,8.25,random,1
Huavean,2,24.0,0.0,random,1
Huitotoan,5,26.0,11.0,random,1
Ijoid,6,40.0,5.5,random,1
Indo-European,192,41.0,13.25,random,1
Iroquoian,5,19.0,2.0,random,1
Iwaidjan Proper,7,24.0,0.0,random,1
Japonic,4,32.5,16.5,random,1
Jarawa-Onge,1,24.0,0.0,random,1
Jarrakan,2,22.0,2.0,random,1
Jicaquean,1,28.0,0.0,random,1
Kadugli-Krongo,11,62.0,3.0,random,1
Kakua-Nukak,3,22.0,1.0,random,1
Kartvelian,6,35.5,3.75,random,1
Kawesqar,3,24.0,0.0,random,1
Keresan,1,51.0,0.0,random,1
